treatment_id,treatment_name,fee
193,ENALAPRIL MALEATE,121.4
194,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,263.37
195,Menveo,262.48
196,good sense all day pain relief,195.02
197,Lactulose,334.05
198,Earwax Removal Aid,345.96
199,ACCOLATE,153.84
200,Koate,202.75
201,Melaleuca Pollen,65.1
202,Carvedilol,340.23
203,Vincasar PFS,346.4
204,Cyanocobalamin,179.16
205,3 CONCEPT EYES SLIM FIT PACT SOFT BEIGE,148.85
206,Boroleum,102.55
207,equate ibuprofen,304.99
208,NICOTINE,354.71
209,Gemfibrozil,91.98
210,Mucinex Fast-Max,164.69
211,Dermasorb AF Complete Kit,167.72
212,Pristiq,149.25
213,LBEL COULEUR LUXE AMPLIFIER XP,364.83
214,Fenofibrate,316.71
215,fad first aid direct Buffered Eye and Skin,56.24
216,Notatum,251.15
217,Rozerem,173.22
218,Alprazolam,122.39
219,Tamsulosin Hydrochloride,337.42
220,Nicotine,329.15
221,Mango Blossom,364.3
222,GRANISETRON HYDROCHLORIDE,237.87
223,Lidocoll,317.59
224,Recharge Remedy No. 18,223.74
225,Meloxicam,172.0
226,MYUNG HAN MI IN DO FOUNDATION,164.92
227,Personal Care Antifungal,130.66
228,Allopurinol,382.68
229,Potassium Chloride in Sodium Chloride,279.29
230,Hydroxyurea,197.4
231,Sofskin Baby,360.99
232,Clear Eyes Travelers Eye Relief,392.53
233,Native Green Foaming Hand Sanitizer,284.81
234,Gehwol med Foot,290.63
235,Eastern White Pine Pollen,154.56
236,antimicrobial hand wipe,66.45
237,Thiothixene,233.97
238,Colosode,393.39
239,DawnMist Alcohol Hand Sanitizer,289.69
240,OXCARBAZEPINE,162.99
241,Lorazepam,220.03
242,Anticavity,360.11
243,Benzoin Tincture,56.34
244,Cattle Epithelium,253.67
245,DELFLEX,233.57
246,Fexofenadine,85.16
247,Methocarbamol,277.11
248,Enlon,60.2
249,Ropinirole Hydrochloride,367.6
250,Old Spice High Endurance,217.07
251,Perphenazine,101.86
252,TUMS,379.3
253,GOLD CAVIAR COLLAGEN SERUM,329.72
254,CLE DE PEAU BEAUTE RADIANT FLUID FOUNDATION,230.76
255,BROMUS INERMIS POLLEN,303.98
256,citroma,266.23
257,Peptic Relief,62.67
258,Childrens Mucus Relief,375.33
259,Benztropine Mesylate,363.87
260,Risperidone,298.12
261,Arizona Cypress,158.93
262,PCXX ONE MINTE GEL GRAPE EXPLOSION,375.58
263,Klor-Con,175.41
264,THE BAMBOO OF DAMYANG MOISTURE EYE,262.53
265,Risperidone,160.75
266,Promethazine Hydrochloride,239.6
267,Venlafaxine hydrochloride,76.21
268,Oxycodone Hydrochloride,60.96
269,Ciprofloxacin,192.69
270,leader day time,235.34
271,PEGINTRON,175.66
272,LEVOBUNOLOL HYDROCHLORIDE,52.71
273,CitraNatal Assure,295.27
274,Opana,266.14
275,Actidose Aqua,327.93
276,Life Extension Sun Protection SPF 30,375.54
277,Proactiv Solution,116.75
278,Happy Bones,213.6
279,Naturals,254.69
280,Lisinopril,326.26
281,Childrens Allergy,69.85
282,THERA RX,348.09
283,good neighbor pharmacy pain relief,119.96
284,Claforan,67.76
285,Lisinopril,211.65
286,Icy Hot,149.56
287,Hydrocodone Bitartrate and Acetaminophen,138.06
288,Arctic Relief,131.36
289,Fluticasone Propionate,67.18
290,Oxybutynin Chloride,156.37
291,Origins,106.13
292,Divalproex Sodium,245.54
293,Mulberry,341.57
294,Oxycodone and Acetaminophen,85.8
295,Ultra Tuss Safe,103.68
296,Prefest,298.16
297,Muscle Cramp and Spasm Relief,301.61
298,Larynx Bryonia Special Order,205.58
299,Metformin Hydrochloride,298.0
300,Instant Hand Sanitizer Original With Moisturizer and Vitamin E,130.77
301,Amantadine Hydrochloride,126.44
302,MK BZK Swab Sterile,340.97
303,Indomethacin,311.01
304,Cold - Cough,145.93
305,Treatment Set TS329413,227.77
306,Carbon Dioxide,183.67
307,Green Guard Cough Drop Relief,394.5
308,Glimepiride,267.46
309,KIDS RELIEF ARNICA,103.1
310,LOXITANE,80.59
311,Smooth Brome,216.03
312,OXYGEN,367.65
313,Simvastatin,258.46
314,Formula 3,393.91
315,METFORMIN HYDROCHLORIDE,194.09
316,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,182.05
317,cilostazol,88.57
318,EnrichedFoam,119.57
319,SUPER AQUA MAX WHITE C WATERFUL EMULSION,90.8
320,Lorazepam,385.51
321,Bipolaris sorokiniana,122.48
322,CAFFEINE WITHDRAWAL SUPPORT,248.68
323,pain relief,111.53
324,Old Spice,85.69
325,Losartan Potassium and Hydrochlorothiazide,151.49
326,METFORMIN HYDROCHLORIDE,336.4
327,Carvedilol,367.73
328,Metoprolol Tartrate,185.42
329,Prunus spinosa e flor. et summ. 6,162.77
330,Hydrocodone Bitartrate and Ibuprofen,240.0
331,SALICYLIC ACID,274.31
332,ETHYL ALCOHOL,167.7
333,KOCHIA SCOPARIA POLLEN,289.58
334,Fludeoxyglucose F 18,347.56
335,Spatheraphy,84.43
336,Chloroquine,160.21
337,Skin Eruptions,245.06
338,Methylphenidate Hydrochloride,185.44
339,Oxycodone Hydrochloride,121.05
340,CLINIMIX,59.85
341,Lil Drug Store Nighttime Sleep-Aid,320.03
342,Minoxidil,136.73
343,Ranitidine,227.9
344,Gabapentin,154.67
345,Everyday Clean Dandruff,222.89
346,Omeprazole,55.92
347,Opana,290.61
348,NeoProfen,111.2
349,"Molds, Rusts and Smuts, Phoma herbarum",120.15
350,INSOMNIA RELIEF,205.65
351,Losortan Potassium,225.52
352,Chlorpromazine Hydrochloride,63.65
353,Sertraline Hydrochloride,184.4
354,Antiseptic Mouth Rinse,331.42
355,Meijer Enema,176.88
356,PredniSONE,135.19
357,Pioglitazone hydrochloride and glimepiride,350.92
358,Clobetasol Propionate,184.65
359,Bentasil,390.79
360,Montelukast Sodium,70.24
361,Phendimetrazine Tartrate,255.36
362,Furosemide,54.48
363,GOLD CAVIAR SERUM,283.24
364,FresHands,135.36
365,EAU THERMALE AVENE Akerat S Psoriasis Skin,210.25
366,Pseudoephedrine Hydrochloride,134.21
367,hemorrhoidal,208.51
368,OxyContin,107.42
369,Mucinex Fast-Max Day Time Severe Congestion and Cough and Mucinex Fast-Max Night Time Cold and Flu,194.45
370,FLUVOXAMINE MALEATE,334.65
371,CVS Revitalift Complete with SPF-15,234.37
372,Carvedilol,171.06
373,Sugar Maple,63.81
374,Nazil,235.38
375,Alpha-Caine,146.9
376,TRETTEN,345.33
377,enema,174.8
378,Caffeine Citrate,138.89
379,Ana-Lex,102.47
380,Treatment Set TS346790,238.57
381,SKIN PROTECTANT,162.82
382,PRIMATENE,244.49
383,Night Time Cold/Flu Relief Cherry,207.64
384,Ketorolac Tromethamine,292.88
385,DEXTROSE,77.95
386,BLATELLA GERMANICA,90.57
387,Oxycodone and Acetaminophen,79.42
388,Bupropion hydrochloride,282.0
389,Levetiracetam,135.5
390,Lisinopril,120.98
391,Theophylline,73.52
392,Viagra,174.43
393,PERIPLANETA AMERICANA,53.11
394,Lisinopril,165.16
395,Walgreens Artificial Tears Lubricant Eye Drops,191.42
396,aspirin,385.75
397,"Oxygen, Refrigerated",267.16
398,Amantadine Hydrochloride,293.36
399,equaline all day allergy,136.06
400,A and D,336.11
401,topiramate,122.59
402,ZAFIRLUKAST,371.79
403,Clarithromycin,239.35
404,Propranolol Hydrochloride,132.52
405,Metformin hydrochloride,321.14
406,Enalapril Maleate,139.85
407,Penicillin V Potassium,205.13
408,Gas Relief,226.0
409,Sulfamethoxazole and Trimethoprim,65.49
410,PAROXETINE,214.71
411,DOXYCYCLINE,351.5
412,ULTRA HYDRA,66.9
413,Dr. Sheffield Hydrocortisone Anti itch,121.85
414,AMARANTHUS TUBERCULATUS POLLEN,133.95
415,Duloxetine Hydrochloride,324.28
416,Donatussin DM Drops,193.17
417,White Mulbery Pollen,377.92
418,Healthy Accents migraine formula,90.71
419,Hog Hair,174.16
420,IMADA RED FLOWER ANALGESIC,110.29
421,Desipramine Hydrochloride,197.11
422,Quinapril,275.95
423,SHISEIDO THE SKINCARE TINTED MOISTURE PROTECTION,88.39
424,Leg Strong Trifusion,99.83
425,Aspirin,52.14
426,Loratadine,338.49
427,Prochlorperazine Maleate,133.76
428,Tobramycin,341.52
429,Quality Choice Cold and Sore Throat,129.41
430,Brevibloc,394.61
431,ibuprofen,217.19
432,Tussin CF,393.55
433,ANTI BACTERIAL HAND SANITIZER,309.49
434,Degree,358.71
435,Degree,114.72
436,Mobic,109.46
437,Valproic,339.22
438,Hydrogen Peroxide,145.62
439,Magnesium Sulfate,214.14
440,Morphine Sulfate,259.03
441,Pravastatin Sodium,385.89
442,ATORVASTATIN CALCIUM,224.29
443,CellCept,137.88
444,Sambucus Larix,227.02
445,Ibuprofen,122.33
446,HUMATROPE,121.39
447,GUNA-ANTI IL 1,290.51
448,Black Walnut Pollen,180.75
449,OXYGEN,177.29
450,Cimzia,166.88
451,Extra Strength Headache Relief,238.54
452,oil,282.14
453,Levothyroxine Sodium,98.94
454,Platinum for Men,81.55
455,AMOREPACIFIC FUTURE RESPONSE Age Defense SPF30,150.4
456,Hydrocodone Bitartrate and Acetaminophen,68.33
457,K-Tab,90.24
458,ALREX,97.29
459,LISINOPRIL AND HYDROCHLOROTHIAZIDE,129.01
460,Colirio Ocusan,139.82
461,Midazolam Hydrochloride,87.21
462,Flurazepam,146.84
463,Amoxicillin and Clavulanate Potassium,358.14
464,BabyGanics Sunscreen,188.65
465,PANTOPRAZOLE SODIUM,57.6
466,VAPRISOL DEXTROSE IN PLASTIC CONTAINER,395.62
467,Malin and Goetz,310.41
468,Carvedilol,325.64
469,Acyclovir,220.19
470,Flu and Sore Throat,335.04
471,Slim 2,160.81
472,Gabapentin,169.21
473,Primidone,167.88
474,Therapeutic,259.71
475,Lamivudine and Zidovudine,76.07
476,ELIGARD,275.83
477,Norepinephrine,283.24
478,Hydralazine Hydrochloride,398.49
479,Fluconazole,314.64
480,Flounder,358.55
481,Degree,363.37
482,Neo-Synalar,304.84
483,Nifedipine,158.77
484,Acyclovir,137.73
485,AZITHROMYCIN,238.71
486,Clopidogrel Bisulfate,126.8
487,Sweet Potato,322.38
488,multi symptom cold plus,262.08
489,"Brompheniramine Maleate, Pseudoephedrine Hydrochloride and DextromethorphanHydrobromide",239.12
490,LBEL,131.26
491,smart sense lice killing,170.48
492,LBEL EFET PARFAIT Spots Reducing Effect Foundation SPF 18 - MEDIUM 5,396.72
493,Zazole,168.94
494,Ofloxacin,286.05
495,Tindamax,188.61
496,Desloratadine,294.24
497,Minocycline Hydrochloride,343.49
498,Hydroxyzine,84.04
499,childrens acetaminophen melts,154.31
500,Staples Instant Hand Sanitizer,60.51
501,Antigas,65.58
502,Midazolam,328.13
503,MediChoice PVP Swabsticks,244.96
504,Actos,86.51
505,Oxcarbazepine,322.99
506,Relaxoforce,87.55
507,Methimazole,128.21
508,Olive Leaf Antibacterial Foaming Hand Wash,303.93
509,Kadian,161.39
510,Alka-Seltzer Heartburn Plus Gas ReliefChews Tropical Punch,258.9
511,Methocarbamol,184.57
512,Acyclovir,272.58
513,Mupirocin,55.2
514,Cartilago Argentum Joint Support,78.57
515,Antibiotic and Pain Relief,342.7
516,LYSOL Healthy Touch,175.88
517,Atenolol,334.67
518,Chlordiazepoxide Hydrochloride and Clidinium Bromide,170.25
519,PROSHIELD PLUS,69.5
520,BabyGanics Alcohol Free Foaming Hand Sanitizer,77.37
521,Cetirizine Hydrochloride,151.33
522,Aspirin,182.34
523,GAP Favorite Lip Balm,217.64
524,Zinc Cold Remedy,223.94
525,babies r us childrens pain relief,360.28
526,Body Essentials Hand and Body Moisturizing Formula,224.75
527,Octreotide Acetate,155.91
528,Lemon splash anti-bacterial SCENTED HAND SANITIZER,198.2
529,KROGER SPF 4 TANNING OIL,88.28
530,PAXIL,165.39
531,Loxapine,204.23
532,Pioglitazone,256.27
533,Oxygen,89.45
534,Penicillin V Potassium,254.71
535,Arnica,258.6
536,Nplate,182.04
537,AVVA,373.8
538,Elitek,51.28
539,Everyday Clean Dandruff,359.91
540,Naproxen Sodium,268.04
541,Lipitor,198.46
542,Verapamil Hydrochloride,246.33
543,Aclaro PD,104.48
544,ConRx Allergy Sinus,66.98
545,LISINOPRIL AND HYDROCHLOROTHIAZIDE,185.21
546,Psoriasin,87.23
547,Analgesic Creme Rub,180.39
548,Coffee,217.79
549,Ropinirole Hydrochloride,328.9
550,Oxygen,200.52
551,Nortriptyline Hydrochloride,177.61
552,Good Sense enema,276.09
553,Cefuroxime axetil,222.43
554,Anzemet,277.03
555,POLYETHYLENE GLYCOL 3350,208.87
556,Torsemide,336.22
557,Bupropion hydrochloride,224.01
558,Lemon Verbeba Antibacterial Foaming Hand Wash,304.26
559,Dextrose And Sodium Chloride,350.23
560,Date Palm Pollen,125.4
561,Marcaine,238.97
562,Cefepime,235.39
563,ROBITUSSIN NIGHT TIME COUGH AND COLD,398.6
564,Metoclopramide,392.63
565,Equitance Sunscreen Broad Spectrum SPF 36,116.71
566,Clopidogrel,271.73
567,Nabumetone,189.1
568,Tartar control plus,274.63
569,Sotalol Hydrochloride,301.38
570,Purminerals 4-in-1 14-Hour Wear Foundation Broad Spectrum SPF 15 (LIGHT),161.54
571,Prevantics swabstick,168.7
572,Cefuroxime Axetil,274.91
573,Quick Wrinkle Repair Moisturizer Broad Spectrum SPF30,263.36
574,Paroxetine Hydrochloride,314.63
575,Koh Gen Do Aqua Foundation,100.73
576,Comfort Touch Antibacterial Moist Wipes,202.77
577,BabyGanics Cold Relief Chest Rub,342.42
578,Terrestristat,99.21
579,Nitropress,153.1
580,ALLERGY RELIEF,152.57
581,Androbalance,99.79
582,Tamoxifen Citrate,292.18
583,MAXALT,161.19
584,Birch Juniper Rejuvenation,335.71
585,Ibuprofen and Diphenhydramine Citrate,263.38
586,Oxygen,183.62
587,Risperidone,72.99
588,Alka-Seltzer XTRA STRENGTH,290.71
589,Chlorpheniramine Maleate,50.33
590,acid controller complete,352.12
591,SAMBUCUS FLUCARE,234.45
592,simvastatin,317.62
593,Bowel - Digestive Care,340.71
594,Meaningful Beauty Cindy Crawford,162.23
595,Carbamazepine,148.05
596,LISINOPRIL AND HYDROCHLOROTHIAZIDE,192.56
597,CLE DE PEAU BEAUTE REFINING FLUID FOUNDATION,223.27
598,Coniferyl Alcohol,219.05
599,Stalevo,51.77
600,Antimicrobial Hand Wash,310.46
601,Strumeel Forte Rx Oral Drops,346.23
602,PULMICORT RESPULES,329.44
603,Rheumatism Cough,191.92
604,ziprasidone hydrochloride,395.92
605,R-Tanna,152.39
606,Acetaminophen,243.32
607,Hepar Stannum 6/10,276.61
608,Barley Grain,325.48
609,Megestrol Acetate,242.7
610,Acne,131.21
611,Terazosin Hydrochloride,149.4
612,Oil-Free Acne Wash,230.91
613,CONTROL DYNAMICS MATTIFYING,367.0
614,Amlodipine Besylate,224.58
615,Spironolactone,302.96
616,Gabapentin,391.96
617,METOPROLOL SUCCINATE,208.12
618,Mountain Cedar,243.18
619,Niacin,356.91
620,kirkland signature aller fex,267.16
621,Silk,318.32
622,Biore,178.59
623,Halls,211.7
624,Colds and Flu/Multi Symptom Reliever,91.57
625,Oxycodone hydrochloride,332.15
626,Divalproex Sodium,109.36
627,POTASSIUM CHLORIDE IN SODIUM CHLORIDE,248.46
628,Cephalexin,275.96
629,Estradiol Transdermal System,235.59
630,Potassium Chloride in Dextrose and Sodium Chloride,138.71
631,metformin hydrochloride,243.62
632,Childrens Sabadil,231.39
633,AMITRIPTYLINE HYDROCHLORIDE,293.75
634,Pantoprazole Sodium,178.08
635,Cold Rub,277.4
636,Cefprozil,129.7
637,MediSpa Sunblock SPF47,233.44
638,GFS BIOPROTECT HAND SANITIZER ALOE VERA,320.36
639,Meloxicam,98.45
640,mally Face Defender Foundation BB,239.35
641,Treatment Set TS349357,236.12
642,Triple Antibiotic,363.95
643,wal flu,68.78
644,Dermatop,368.11
645,Childrens Chewable Aspirin,53.61
646,TRIHEXYPHENIDYL HYDROCHLORIDE,280.1
647,Hydrochlorothiazide,149.38
648,Sodium Iodide I 123,99.91
649,Flomax,57.01
650,"Food - Plant Source, Hazelnut (Filbert) Corylus spp.",92.13
651,Alo Therapeutic Massage,383.95
652,Piperacillin and Tazobactam,137.01
653,Regular Strength Aspirin,89.51
654,"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride",288.99
655,Gabapentin,210.95
656,Anger Soothe,301.4
657,Marnatal F,234.89
658,Tobramycin,74.95
659,Equaline night time,345.25
660,equaline allergy,150.44
661,equate hair regrowth treatment,211.93
662,BOS TAURUS SKIN,359.52
663,IBU,209.93
664,ONDANSETRON,145.07
665,Lunesta,346.89
666,No7 Stay Perfect Foundation Compact Sunscreen SPF 15 Blonde,136.3
667,RG Sport Inv.Solid Antiperspirant Deodorant Fresh,349.75
668,Ciprofloxacin,387.9
669,APIS MELLIFICA,250.89
670,St. Ives,140.07
671,Topex,259.22
672,pharMAX varicose,393.31
673,Zydelig,189.73
674,Hydralazine Hydrochloride,90.13
675,Butisol Sodium,135.97
676,Daily Moisturizing,58.34
677,Grain and Seed Antigens,235.79
678,Aurum Strophanthus Special Order,108.66
679,Amlodipine Besylate,172.74
680,Proventil HFA,309.0
681,All Fresh by Alsco Instant Mist Hand Sanitizer,214.03
682,NICARdipine Hydrochloride,229.47
683,Nux Vomica Homaccord,80.5
684,Metoclopramide hydrochloride,190.29
685,Fresh Sugar Rose Tinted Lip Treatment SPF 15,246.17
686,Zazole,251.75
687,good neighbor pharmacy nicotine,392.4
688,Salonpas pain relieving PATCH HOT,289.55
689,complete,117.29
690,Indoor/Outdoor ALLERGY RELIEF Softgels,68.26
691,K-Mart SmartSense First Aid Contains 303 Pieces,66.54
692,Quetiapine Fumarate,393.48
693,ZOLINZA,182.62
694,Secret Invisible Bora Bora,90.41
695,Sulfacetamide Sodium,209.56
696,Vortex,370.6
697,Kicking and Screaming,107.32
698,Type 3 Sinus Regular,260.16
699,Allergy Relief,134.52
700,Liquid corn and Callus Remover,96.77
701,Vomiting Diarrhea,143.13
702,Marcaine,344.08
703,Citalopram,62.27
704,Mucus Relief Cough,159.89
705,BeneFIX,396.5
706,Trileptal,338.93
707,Quinapril,160.07
708,Donepezil Hydrochloride,171.67
709,Trimethoprim,331.3
710,Montelukast Sodium,55.61
711,OXACILLIN,110.49
712,Menadione,297.54
713,Ofloxacin,104.69
714,Dicloxacillin Sodium,190.63
715,Morphine Sulfate,72.56
716,Promethazine Hydrochloride and Dextromethorphan Hydrobromide,100.0
717,risperidone,83.64
718,No Concealer Concealer No.2 Light to Medium,393.13
719,Salagen,383.63
720,Nesacaine,265.43
721,Bio Elm,169.37
722,Nitrostat,114.2
723,Ropivacaine Hydrochloride,398.87
724,Crest Pro-Health,387.65
725,Potassium Chloride,358.01
726,Topiramate,319.76
727,Ciprofloxacin,204.36
728,Midazolam,232.32
729,PURE SHEER,166.4
730,Leader Premenstrual,214.8
731,RUE21 Cherry Blossom Antibacterial Hand Sanitizer,329.01
732,Risperidone,290.29
733,SNORING HP,128.71
734,Fluocinonide,66.43
735,Lithium Carbonate,313.65
736,DentiCare Denti-Pro,221.69
737,Lucky Antibacterial Hand Soap,147.78
738,CVS Maximum Strength Boil Relief,138.53
739,NuLYTELY,177.08
740,SMART SENSE,373.52
741,pain relief,155.93
742,Fexofenadine hydrochloride,120.4
743,levofloxacin,116.56
744,Lorazepam,351.56
745,Irbesartan and Hydrochlorothiazide,171.41
746,Terrasil Wart Removal,363.03
747,Amlodipine Besylate,263.77
748,FIRST BXN Mouthwash,350.61
749,Diazepam,372.68
750,Alprazolam,135.92
751,SERTRALINE,226.78
752,Homeopathic Mental Alertness Formula,146.1
753,EAD,105.34
754,Sucralfate,293.25
755,Goat Epithelium,272.9
756,Medi-Pak Performance Instant Hand Sanitizer with Aloe,58.47
757,Tekturna,210.54
758,Chest Rub,159.91
759,Hydroxyzine Hydrochloride,352.77
760,Viscum Mali 4,197.99
761,LBEL EFFET PARFAIT filling effect foundation SPF 10 - OBSCURE 9,211.66
762,Mucor plumbeus,111.85
763,Levetiracetam,270.84
764,Risperidone,241.04
765,Celexa,370.8
766,Levofloxacin,136.77
767,Saccharomyces cerevisiae,129.7
768,Arthritis Pain Reliever,376.2
769,Antibacterial Foam,87.5
770,Baclofen,71.98
771,La Roche Posay Laboratoire Dermatologique,341.06
772,Smart San Hand Sanitizer,316.93
773,Risperidone,367.48
774,Warfarin Sodium,269.81
775,DERMAKLEEN,304.46
776,Childrens Tussnex,92.98
777,PYRETHRUM CINERARIIFOLIUM,138.54
778,PREDNISOLONE SODIUM PHOSPHATE,327.28
779,Galantamine,352.05
